Movie Title,Director,Count,Picked By
No Country for Old Men,Joel Coen and Ethan Coen,6,"BILLY CRUDUP, JAY DUPLASS, JOSH BROLIN, ARI ASTER, KARYN KUSAMA, NICHOLAS HOULT"
Husbands,John Cassavetes,6,"BENNY SAFDIE, JAY DUPLASS, DICK CAVETT, MAYA AND ETHAN HAWKE, ELVIS MITCHELL, BARBARA SUKOWA"
La piscine,Jacques Deray,6,"CILLIAN MURPHY, KRISTIN SCOTT THOMAS, PAMELA ANDERSON, CHARLES MELTON, SUSANNA HOFFS, VICKY KRIEPS"
Eraserhead,David Lynch,6,"ETHEL CAIN, DAVID CRONENBERG, JANELLE MONÁE, JANE SCHOENBRUN, ALICIA MALONE, THE WOLFPACK"
Grey Gardens,"David Maysles, Albert Maysles, Ellen Hovde, and Muffie Meyer",6,"ETHEL CAIN, JULIA FOX, CHELSEA PERETTI, HARI NEF, BEN WHEATLEY, JOHN DWYER"
Hedwig and the Angry Inch,John Cameron Mitchell,6,"MARION COTILLARD, ALICIA SILVERSTONE, SETH ROGEN & EVAN GOLDBERG, MAURA TIERNEY, JOEL KIM BOOSTER, RICKIE LEE JONES"
The Before Trilogy,Collector’s Set,6,"MARK DUPLASS, ROB DELANEY, AIMEE LOU WOOD, DANIELS, ETHAN HAWKE AND JONATHAN MARC SHERMAN, ALDEN EHRENREICH"
Traffic,Steven Soderbergh,6,"JOSH BROLIN, BEN AFFLECK, PAUL W. DOWNS, RAÚL CASTILLO, THE WOLFPACK, CHRISTIAN PETZOLD"
All About Eve,Joseph L. Mankiewicz,6,"ALICIA SILVERSTONE, MARGARET QUALLEY, BOWEN YANG, JULIA GARNER, CAROL KANE, MINNIE DRIVER"
True Stories,David Byrne,6,"DAVID BYRNE, TUNDE ADEBIMPE, JOHN DWYER, PETER SARSGAARD, FIVE COMICS, ALAN PALOMO"
The Rules of the Game,Jean Renoir,6,"BEN AFFLECK, AMY IRVING, JEREMY THOMAS, LESLIE HARRIS, THEODORE WITCHER, THE WOLFPACK"
Naked Lunch,David Cronenberg,6,"SETH ROGEN & EVAN GOLDBERG, NATASHA LYONNE, JOHN DWYER, LUCRECIA MARTEL, AMY HECKERLING, FLYING LOTUS"
Tootsie,Sydney Pollack,6,"JUDD APATOW, PAUL W. DOWNS, KATYA ZAMOLODCHIKOVA, CATE BLANCHETT AND TODD FIELD, MICHAEL CERA, ETHAN HAWKE AND JONATHAN MARC SHERMAN"
Moonstruck,Norman Jewison,6,"BETSEY JOHNSON, AIMEE LOU WOOD, ZOË KRAVITZ AND CHANNING TATUM, DAN LEVY, TRACE LYSETTE, GARRETT BRADLEY"
The Wages of Fear,Henri-Georges Clouzot,6,"MATT DILLON, ARI ASTER, DENIS VILLENEUVE, BONG JOON HO, JOEL EDGERTON, PHILIP KAUFMAN"
Brazil,Terry Gilliam,6,"RONAN FARROW, JANELLE MONÁE, ANDREW GARFIELD, GINA GERSHON, ANDRÉ BONZEL, FLYING LOTUS"
The Koker Trilogy,Collector’s Set,6,"PAMELA ANDERSON, MAURA DELPERO, ZOË KRAVITZ AND CHANNING TATUM, ARI ASTER, NURI BILGE CEYLAN, JULIO TORRES"
The Piano Teacher,Michael Haneke,6,"MIKEY MADISON, MAURA DELPERO, DAN LEVY, WILLEM DAFOE, RAVEN JACKSON, RENATE REINSVE"
Ace in the Hole,Billy Wilder,6,"ARI ASTER, MARC MARON, AMY HECKERLING, ALEXANDER PAYNE, VOLKER SCHLÖNDORFF, ETHAN HAWKE AND JONATHAN MARC SHERMAN"
Night of the Living Dead,George A. Romero,6,"SIMON PEGG, JANELLE MONÁE, JOHN DWYER, JACQUELINE NOVAK AND JOHN EARLY, FIVE COMICS, RAÚL CASTILLO"
The 400 Blows,François Truffaut,6,"DIEGO LUNA, CHARLIE DAY, CHELSEA PERETTI, EUZHAN PALCY, ANDRÉ BONZEL, ETHAN HAWKE AND JONATHAN MARC SHERMAN"
3 Films by Roberto Rossellini Starring Ingrid Bergman,Collector’s Set,6,"NATASHA LYONNE, EDWARD BERGER, ISABELLE HUPPERT, WILLEM DAFOE, MATÍAS PIÑEIRO, CHRISTIAN PETZOLD"
A Brighter Summer Day,Edward Yang,6,"MICHELLE ZAUNER, BARRY JENKINS, PAUL DANO, KLEBER MENDONÇA FILHO, TYLER MITCHELL, AMIR NADERI"
The Blob,Irvin S. Yeaworth Jr.,6,"KEVIN BACON, ERIC BANA, JANELLE MONÁE, JOHN WATERS, CHELSEA PERETTI, RICKIE LEE JONES"
Jules and Jim,François Truffaut,6,"KEVIN BACON, KIM CATTRALL, RICHARD E. GRANT, THEODORE WITCHER, SARA DOSA, MIKE LEIGH"
After Life,Hirokazu Kore-eda,6,"MARK RYLANCE, WINONA RYDER, LILY GLADSTONE & ERICA TREMBLAY, CHARLES MELTON, BRIT MARLING AND ZAL BATMANGLIJ, RODRIGO PRIETO"
Claudine,John Berry,6,"ANDRÉ HOLLAND, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, LEE DANIELS, TYLER MITCHELL, GINA PRINCE-BYTHEWOOD, COLIN QUINN"
3 Women,Robert Altman,6,"MAYA AND ETHAN HAWKE, CHARLES MELTON, TYLER MITCHELL, JACQUELINE NOVAK AND JOHN EARLY, ALEXANDER PAYNE, BARBARA SUKOWA"
Love Streams,John Cassavetes,6,"MOLLY RINGWALD, SUSANNA HOFFS, LUCRECIA MARTEL, EUZHAN PALCY, DESIREE AKHAVAN, RUBEN ÖSTLUND"
The Piano,Jane Campion,5,"JODIE FOSTER, ROSE BYRNE, MAURA DELPERO, LEE DANIELS, ALESSANDRO BORGHI, FELIX VAN GROENINGEN, AND CHARLOTTE VANDERMEERSCH"
Parasite,Bong Joon Ho,5,"JODIE FOSTER, ELLE FANNING, DIEGO LUNA, JULIA GARNER, AGNIESZKA HOLLAND"
Woman in the Dunes,Hiroshi Teshigahara,5,"JODIE FOSTER, MARK RYLANCE, GINTS ZILBALODIS, ARI ASTER, HIDEO KOJIMA"
Late Spring,Yasujiro Ozu,5,"RYAN COOGLER, HIDEO KOJIMA, CARL FRANKLIN, THEODORE WITCHER, MIKE LEIGH"
