Movie Title,Director,Count,Picked By
3 Films by Roberto Rossellini Starring Ingrid Bergman,Collector’s Set,9,"CHARLOTTE RAMPLING AND ANDREW HAIGH, CHRISTIAN PETZOLD, EDWARD BERGER, ISABELLE HUPPERT, JEAN-PIERRE AND LUC DARDENNE, LOUIS GARREL, MATÍAS PIÑEIRO, NATASHA LYONNE, WILLEM DAFOE"
Y tu mamá también,Alfonso Cuarón,9,"ALESSANDRO BORGHI, FELIX VAN GROENINGEN, AND CHARLOTTE VANDERMEERSCH, DIEGO LUNA, GAEL GARCIA BERNAL, GINTS ZILBALODIS, JULIO TORRES, PABLO LARRAÍN, PATRICK BRICE, SARA DOSA, SLAVOJ ŽIŽEK"
Loves of a Blonde,Miloš Forman,9,"BILL HADER, JERZY SKOLIMOWSKI, KARINA LONGWORTH, LEE UNKRICH, LOUIS GARREL, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, PAYAL KAPADIA, REBECCA MILLER, ROSAMUND PIKE"
3 Women,Robert Altman,8,"ALEXANDER PAYNE, AUBREY PLAZA AND JEFF BAENA, BARBARA SUKOWA, CHARLES MELTON, JACQUELINE NOVAK AND JOHN EARLY, LAURA DERN, MAYA AND ETHAN HAWKE, TYLER MITCHELL"
Amores perros,Alejandro G. Iñárritu,8,"GAEL GARCIA BERNAL, JASON BATEMAN, JR, JULIETTE BINOCHE AND RALPH FIENNES, JULIO TORRES, MANUEL GARCIA-RULFO, RAVEN JACKSON, RODRIGO PRIETO"
Three Colors,Krzysztof Kieślowski,8,"BARRY JENKINS, DENIS VILLENEUVE, DIEGO LUNA, HARRIS SAVIDES, JASON BATEMAN, JOHNNIE TO, LEE UNKRICH, PABLO LARRAÍN"
Three Films by Luis Buñuel,Luis Buñuel,8,"AMIR NADERI, BEN GIBBARDS, GAEL GARCIA BERNAL, JEREMY THOMAS, JOEL POTRYKUS, KARYN KUSAMA, RUBEN ÖSTLUND, YORGOS LANTHIMOS"
The Leopard,Luchino Visconti,8,"BARBARA SUKOWA, BRADY CORBET, CALLUM TURNER, JAMES ACHESON, JEREMY THOMAS, LAV DIAZ, MARK BRIDGES, WILLEM DAFOE"
The 400 Blows,François Truffaut,8,"ANDRÉ BONZEL, CHARLIE DAY, CHELSEA PERETTI, DIEGO LUNA, ETHAN HAWKE AND JONATHAN MARC SHERMAN, EUZHAN PALCY, GUILLERMO DEL TORO, WIM WENDERS"
My Own Private Idaho,Gus Van Sant,8,"BARBIE FERREIRA, CAROL KANE, LAURA ALBERT & JEFF FEUERZEIG, NORMAN REEDUS, PAUL DANO, RAÚL CASTILLO, TODD HAYNES, UDO KIER"
His Girl Friday,Howard Hawks,8,"ALDEN EHRENREICH, ALICIA MALONE, CLAIRE DENIS, HANS ZIMMER, JOHN SAYLES, KEVIN SMITH, RON SHELTON, STEVE COOGAN"
House,Nobuhiko Obayashi,8,"ANDRÉ BONZEL, BILL HADER, BILL POPE, ETHAN HAWKE AND JONATHAN MARC SHERMAN, HANS ZIMMER, JOACHIM TRIER, JULIO TORRES, MAURA TIERNEY"
Jules and Jim,François Truffaut,8,"BARRY LEVINSON, KEVIN BACON, KIM CATTRALL, LOUIS GARREL, MIKE LEIGH, RICHARD E. GRANT, SARA DOSA, THEODORE WITCHER"
"Salò, or The 120 Days of Sodom",Pier Paolo Pasolini,8,"ALEXANDER PAYNE, ASIF KAPADIA, BILL HADER, BRADY CORBET, GASPAR NOÉ, JARVIS COCKER, JEREMY O. HARRIS, PAUL B. PRECIADO"
Ratcatcher,Lynne Ramsay,8,"ADRIAN UTLEY, BARRY JENKINS, CHARLOTTE RAMPLING AND ANDREW HAIGH, DESIREE AKHAVAN, ELEGANCE BRATTON, GINA PRINCE-BYTHEWOOD, HLYNUR PÁLMASON, RAVEN JACKSON"
Defending Your Life,Albert Brooks,7,"ANDREW STANTON, BILLY CRUDUP, CLAIRE DANES, JUDD APATOW, LAURA DERN, LENA DUNHAM, SETH ROGEN & EVAN GOLDBERG"
Malcolm X,Spike Lee,7,"BEN AFFLECK, DANIELS, FLOYD NORMAN, JANE SCHOENBRUN, JOHN DAVID WASHINGTON AND MALCOLM WASHINGTON, NICHOLAS BRITELL, RYAN COOGLER"
Videodrome,David Cronenberg,7,"BARBIE FERREIRA, CHRIS EIGEMAN, NORMAN REEDUS, RODARTE, SAUL WILLIAMS AND ANISIA UZEYMAN, THE WOLFPACK, VINCE STAPLES"
WALL·E,Andrew Stanton,7,"ALAIN GUIRAUDIE, CHARLES MELTON, JAMIE LEE CURTIS, JR, JULIO TORRES, MICHAEL CERA, VINCE STAPLES"
The Age of Innocence,Martin Scorsese,7,"BERTRAND BONELLO, GUILLERMO DEL TORO, ISABEL SANDOVAL, JEAN-PIERRE AND LUC DARDENNE, JOANNA HOGG, JUDD APATOW, JUNE SQUIBB"
"Godzilla: The Showa-Era Films, 1954–1975",Collector’s Set,7,"BOWEN YANG, DANIELS, GINA GERSHON, JOEL KIM BOOSTER, JUNE SQUIBB, PARK CHAN-WOOK, TUNDE ADEBIMPE"
Roma,Alfonso Cuarón,7,"BILL HADER, GUILLERMO DEL TORO, JIA ZHANGKE, JOHNNIE TO, JR, KYLE MACLACHLAN, LUCY LIU"
Bruce Lee: His Greatest Hits,Collector’s Set,7,"JOHN DARNIELLE, LUCY LIU, NICHOLAS HOULT, RAMELL ROSS, REGINALD HUDLIN, RZA, ZEINABU IRENE DAVIS"
The Battle of Algiers,Gillo Pontecorvo,7,"ELEGANCE BRATTON, GARRETT BRADLEY, HANS ZIMMER, KATHRYN BIGELOW, PHILIP KAUFMAN, THE WOLFPACK, ZEINABU IRENE DAVIS"
Moonstruck,Norman Jewison,7,"AIMEE LOU WOOD, BETSEY JOHNSON, DAN LEVY, GARRETT BRADLEY, JASON BATEMAN, TRACE LYSETTE, ZOË KRAVITZ AND CHANNING TATUM"
Mikey and Nicky,Elaine May,7,"CHARLES MELTON, CHELSEA PERETTI, JOSH BROLIN, NATHAN LANE, PAUL SCHEER, RZA, YORGOS LANTHIMOS"
The Princess Bride,Rob Reiner,7,"BEN SINCLAIR, BENNY SAFDIE, CAROL KANE, CAULEEN SMITH, ELLE FANNING, JAMIE LEE CURTIS, JULIA GARNER"
La notte,Michelangelo Antonioni,7,"AGNIESZKA HOLLAND, CHARLI XCX, GRIFFIN DUNNE, JIA ZHANGKE, JUSTINE TRIET, PARK CHAN-WOOK, WALTER SALLES"
